epoch,rne,50-50 rne,mov_rne,stat_rne,sas,ras,epe,timestamp,sw-version
0,0.2733698996474636,nan,0.0,nan,0.9887363118872857,0.9993142085413868,0.6446215198861361,2024-04-29-01-42-14,1.1.1
1,0.2740779449014946,nan,0.0,nan,0.988548578129253,0.9993225621660735,0.6463275725305516,2024-04-29-02-20-50,1.1.1
2,0.07161887666449457,nan,0.0,nan,0.99975096449796,0.9999853697904686,0.16952158863712677,2024-04-29-03-07-32,1.1.1
3,0.07660164097850992,nan,0.0,nan,0.9992304569660002,0.999937663875918,0.18136231724689814,2024-04-29-03-57-37,1.1.1
4,0.07837028390842278,nan,0.0,nan,0.9997163360519533,0.9999917286852483,0.1856305058777679,2024-04-29-04-47-03,1.1.1
5,0.08105901844776167,nan,0.0,nan,0.9996665270517768,0.9999835897114373,0.19195291691129227,2024-04-29-05-40-43,1.1.1
6,0.08202076009976977,nan,0.0,nan,0.9993803444957018,0.9999723957624155,0.19415171646575508,2024-04-29-06-31-46,1.1.1
7,0.07809102159963444,nan,0.0,nan,0.9995055513638149,0.9999858434217342,0.1848428910200333,2024-04-29-07-26-36,1.1.1
