epoch,rne,50-50 rne,mov_rne,stat_rne,sas,ras,epe,timestamp,sw-version
0,0.274152202,nan,0,nan,0.987597597,0.999176893,0.646507529,2024-04-29-22-01-29,1.0.3
1,0.273414818,nan,0,nan,0.988276539,0.999326962,0.644754217,2024-04-29-22-43-13,1.0.3
2,0.27448288,nan,0,nan,0.988603736,0.999304965,0.647253661,2024-04-29-23-24-50,1.0.3
3,0.274106793,nan,0,nan,0.988709178,0.999337961,0.646358909,2024-04-30-00-08-27,1.0.3
4,0.275658488,nan,0,nan,0.988347222,0.999293601,0.649961044,2024-04-30-00-49-59,1.0.3
5,0.276683324,nan,0,nan,0.98713706,0.999172396,0.652299989,2024-04-30-01-29-36,1.0.3
6,0.275130202,nan,0,nan,0.987829828,0.999244364,0.648714022,2024-04-30-02-10-06,1.0.3
7,0.275675493,nan,0,nan,0.988414189,0.999277074,0.650025004,2024-04-30-02-49-19,1.0.3
