epoch,learning_rate,Loss,SceneFlowLoss,SegLoss,TrackingLoss,mean_train_loss,best_val_loss_till_now
0,0.001,0.196554,0.646508,0.196554,0.603176,0.196554,0.196554
1,0.00097,0.174561,0.647254,0.174561,0.602377,0.174561,0.174561
3,0.000913,0.194546,0.646359,0.194546,0.585294,0.194546,0.194546
4,0.000885,0.162776,0.649961,0.162776,0.602577,0.162776,0.162776
5,0.000859,0.169998,0.60482,0.169998,0.60482,0.169998,0.169998
7,0.000808,0.15313,0.650025,0.15313,0.604181,0.15313,0.15313
